2014-04-17 19:02:47,158 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: rest:rest:0.0.1-SNAPSHOT @ /Users/prasong/Documents/REST_WS_Java8/rest/pom.xml.
2014-04-17 19:02:47,323 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: rest:rest:0.0.1-SNAPSHOT @ /Users/prasong/Documents/REST_WS_Java8/rest/pom.xml.
2014-04-17 19:02:47,941 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-04-17 19:02:47,963 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/prasong/Documents/REST_WS_Java8/rest/src/main/resources
2014-04-17 19:02:47,965 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-04-17 19:02:47,982 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/prasong/Documents/REST_WS_Java8/rest/src/test/resources
2014-04-17 19:02:50,807 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: rest:rest:0.0.1-SNAPSHOT @ /Users/prasong/Documents/REST_WS_Java8/rest/pom.xml.
2014-04-17 19:02:50,823 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-04-17 19:02:50,841 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/prasong/Documents/REST_WS_Java8/rest/src/main/resources
2014-04-17 19:02:50,843 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-04-17 19:02:50,867 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/prasong/Documents/REST_WS_Java8/rest/src/test/resources
2014-04-17 19:02:52,176 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-04-17 19:02:52,192 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/prasong/Documents/REST_WS_Java8/rest/src/main/resources
